frame_index,pixel_diff,entropy,pixel_intensity_var,edge,absolute_diff,frame_type
0,0.9112065972222222,7.729092162179395,3468.228624864948,74.089453125,0.9112065972222222,I
1,1.5689637586805556,7.727980966489557,3468.5339707308344,74.168310546875,1.5689637586805556,P
2,1.5381901041666666,7.7257651572942505,3460.265468830702,74.214794921875,1.5381901041666666,P
3,1.8176486545138888,7.725078122690827,3455.867729183579,74.259619140625,1.8176486545138888,P
4,2.4235319010416667,7.727188064219755,3443.621993801498,74.3119140625,2.4235319010416667,P
5,3.069635416666667,7.722978432817394,3404.389239427683,74.52109375,3.069635416666667,P
6,0.0516015625,7.719384195268374,3365.712811680591,74.375,0.0516015625,P
7,2.7958311631944444,7.719430144416069,3365.6705472017807,74.390771484375,2.7958311631944444,P
8,2.9210188802083334,7.713710920375886,3344.4502215453685,74.387451171875,2.9210188802083334,P
9,2.9146408420138887,7.708651659770131,3332.932706313568,74.41484375,2.9146408420138887,P
10,3.484280598958333,7.700285305125707,3316.665686573188,74.52275390625,3.484280598958333,P
11,3.510661892361111,7.6937034199998475,3299.7717755368462,74.4912109375,3.510661892361111,P
12,3.88322265625,7.69193801950649,3280.652757748064,74.35673828125,3.88322265625,P
13,3.9467447916666667,7.692982691230502,3265.4692207675503,73.678564453125,3.9467447916666667,P
14,3.895035807291667,7.694082911027848,3254.7450872145646,73.46357421875,3.895035807291667,P
15,3.9524468315972223,7.692376642779728,3242.128166033893,73.622119140625,3.9524468315972223,P
16,4.112442491319444,7.691497758557042,3238.026428069804,73.711767578125,4.112442491319444,P
17,4.157989366319445,7.6892124414357115,3232.1398836630815,73.5814453125,4.157989366319445,P
18,4.290482855902778,7.681633562266491,3221.1399793050027,73.793115234375,4.290482855902778,P
19,4.464896918402777,7.673894382970303,3207.241339606221,73.624609375,4.464896918402777,P
20,5.182222222222222,7.669823187506633,3206.832295286803,73.622119140625,5.182222222222222,P
21,5.451255425347222,7.666794633602132,3203.5101342643625,73.67275390625,5.451255425347222,P
22,5.562878689236111,7.669489745442817,3217.1884690705933,73.69931640625,5.562878689236111,P
23,5.756254340277778,7.673701241208436,3234.3871712364103,73.52333984375,5.756254340277778,P
24,5.562898220486111,7.678025703501259,3247.2433816998705,73.305029296875,5.562898220486111,P
25,5.632213541666666,7.679665295095939,3260.1514740901953,73.25439453125,5.632213541666666,P
26,5.476149088541667,7.683229886002369,3272.0068207888175,73.127392578125,5.476149088541667,P
27,5.668043619791667,7.685474507235849,3277.872991186524,73.148974609375,5.668043619791667,P
28,6.045282118055556,7.6867382764214796,3275.809882834869,72.680810546875,6.045282118055556,P
29,6.05033203125,7.685904991826042,3271.575193798446,72.966357421875,6.05033203125,P
30,6.246435546875,7.683131259892685,3266.8678497558176,72.6251953125,6.246435546875,P
31,0.068818359375,7.678712368549834,3263.1963083546525,72.742236328125,0.068818359375,P
32,6.451399739583334,7.678599320348659,3263.3990327418,72.745556640625,6.451399739583334,P
33,6.597465277777777,7.674418177221035,3258.768323217773,72.496533203125,6.597465277777777,P
34,6.859203559027778,7.668942974620379,3247.0583333001027,72.389453125,6.859203559027778,P
35,7.182286241319445,7.664509484465891,3234.695349297035,72.262451171875,7.182286241319445,P
36,7.500616319444444,7.66245007228291,3209.2123371620073,72.076513671875,7.500616319444444,P
37,7.8994921875,7.661640095308838,3181.996383439763,71.90966796875,7.8994921875,P
38,8.236127387152777,7.661821897269572,3163.615004626116,71.835791015625,8.236127387152777,P
39,8.389135199652777,7.663333856192529,3142.848475042726,71.520361328125,8.389135199652777,P
40,8.277486979166667,7.668224797676984,3133.310522399733,71.43486328125,8.277486979166667,P
41,8.293109809027778,7.675886133675357,3125.8885867927443,71.114453125,8.293109809027778,P
42,7.676190321180556,7.681779247099887,3135.0679756571344,70.335009765625,7.676190321180556,P
43,7.265945095486111,7.686464023237738,3150.860021641953,70.0552734375,7.265945095486111,P
44,6.899543185763889,7.690471129161926,3169.481386953725,69.5837890625,6.899543185763889,P
45,6.496536458333333,7.692404373705906,3186.1009613437236,69.32646484375,6.496536458333333,P
46,6.0163802083333335,7.692551813612585,3200.719194745848,69.50244140625,6.0163802083333335,P
47,5.609582248263889,7.695639981238848,3220.5096943782796,69.355517578125,5.609582248263889,P
48,5.158310546875,7.698393428814182,3231.0081648152564,69.247607421875,5.158310546875,P
49,4.7656477864583335,7.7011927827982465,3234.2478996509863,69.402001953125,4.7656477864583335,P
50,4.481323784722222,7.7032002033383336,3238.372403667355,69.20859375,4.481323784722222,P
51,4.2926627604166665,7.703454930878932,3241.997390877522,69.172900390625,4.2926627604166665,P
52,4.1620095486111115,7.704777061241367,3249.252225533793,69.146337890625,4.1620095486111115,P
53,4.085237630208334,7.705842450801854,3256.7547069722377,69.196142578125,4.085237630208334,P
54,3.90451171875,7.706843662404967,3268.6723107909725,68.989453125,3.90451171875,P
55,3.7808235677083335,7.707462269610151,3278.4327562331196,69.12724609375,3.7808235677083335,P
56,0.07025499131944445,7.709008385746486,3289.1064511744175,69.063330078125,0.07025499131944445,P
57,3.602961154513889,7.7090505538484235,3288.9995114768876,69.064990234375,3.602961154513889,P
58,3.607158203125,7.709948987527713,3293.2981609839435,69.086572265625,3.607158203125,P
59,3.3730859375,7.7120328639078695,3300.414855953206,69.154638671875,3.3730859375,P
60,3.2379871961805557,7.713070469394848,3307.0352017795144,68.77197265625,3.2379871961805557,P
61,3.104548611111111,7.714999113542143,3313.3917131398407,68.945458984375,3.104548611111111,P
62,3.027005208333333,7.716195101420951,3318.67944629151,68.810986328125,3.027005208333333,P
63,2.836955295138889,7.719190891544399,3327.5214113550715,68.953759765625,2.836955295138889,P
64,2.774716796875,7.719854831469794,3330.4390671996644,68.977001953125,2.774716796875,P
65,2.5949522569444445,7.720360448834183,3338.1086306381226,68.855810546875,2.5949522569444445,P
66,2.4643402777777776,7.721227360920371,3339.676256982072,68.600146484375,2.4643402777777776,P
67,2.3661295572916665,7.7211883895467395,3341.997721903313,68.656591796875,2.3661295572916665,P
68,2.2992447916666667,7.72202867377651,3344.2231591033824,68.99111328125,2.2992447916666667,P
69,2.1793641493055556,7.723014698054805,3347.905646955702,68.91806640625,2.1793641493055556,P
70,2.043693576388889,7.723042600196097,3349.024341989474,68.84169921875,2.043693576388889,P
71,2.047876519097222,7.721831932073828,3350.9253446273697,68.879052734375,2.047876519097222,P
72,1.8222276475694446,7.723233461003452,3353.4789429767925,68.522119140625,1.8222276475694446,P
73,1.8867035590277779,7.724191618160107,3355.869849988768,68.62255859375,1.8867035590277779,P
74,1.6946028645833333,7.7239559124743415,3355.365610707505,68.384326171875,1.6946028645833333,P
75,1.6128656684027778,7.724104964910496,3354.8088881462,68.45322265625,1.6128656684027778,P
76,1.6720269097222222,7.72252641688909,3356.013738820012,68.445751953125,1.6720269097222222,P
77,1.1913758680555555,7.72263803188572,3358.1880624045366,68.84169921875,1.1913758680555555,P
78,1.485290798611111,7.7222806154544905,3357.941385437001,68.90478515625,1.485290798611111,P
79,1.3289778645833332,7.72154952115303,3357.6847041424116,68.864111328125,1.3289778645833332,P
80,0.8222764756944444,7.721761502651709,3359.24159285414,69.006884765625,0.8222764756944444,P
81,0.1124924045138889,7.7215857134285955,3359.9714793751623,69.009375,0.1124924045138889,P
82,1.10642578125,7.7214500573389335,3359.8876342780954,69.056689453125,1.10642578125,P
83,1.0549229600694445,7.720153328528107,3358.844854715601,68.955419921875,1.0549229600694445,P
84,0.4878472222222222,7.720881571885013,3359.4357527185125,69.10400390625,0.4878472222222222,P
85,0.7492936197916666,7.72019635425878,3358.792200439072,69.010205078125,0.7492936197916666,P
86,0.5736827256944445,7.720405906816239,3359.794505626668,69.115625,0.5736827256944445,P
87,0.8081119791666667,7.719748936321589,3359.2101924751173,69.16875,0.8081119791666667,P
88,0.3657454427083333,7.720227826813256,3361.2760291139284,69.189501953125,0.3657454427083333,P
89,0.5191232638888889,7.719894635463389,3360.846050402789,69.136376953125,0.5191232638888889,P
90,0.36746419270833336,7.720005461323683,3363.1066528309707,69.282470703125,0.36746419270833336,P
91,0.3495269097222222,7.719816595466627,3364.062873406209,69.138037109375,0.3495269097222222,P
92,0.42744140625,7.719840504366733,3363.0437838107637,69.219384765625,0.42744140625,P
93,0.4717252604166667,7.719300315672732,3361.275044291009,69.31484375,0.4717252604166667,P
94,0.4712575954861111,7.719469588521182,3360.9387125828957,69.104833984375,0.4712575954861111,P
95,0.5923600260416667,7.718573338590021,3358.4902010044416,69.269189453125,0.5923600260416667,P
96,0.7651638454861112,7.717939216037506,3355.6207114864346,69.1654296875,0.7651638454861112,P
97,0.7536013454861111,7.715952798497506,3350.375077997463,69.13056640625,0.7536013454861111,P
98,0.8326963975694445,7.71472246261238,3345.3361442680252,69.234326171875,0.8326963975694445,P
99,1.0687608506944444,7.713122721860564,3340.0757824646,69.2982421875,1.0687608506944444,P
100,1.2468489583333333,7.7114453633035485,3331.8743309010397,69.3712890625,1.2468489583333333,P
101,1.6189496527777778,7.708368078793018,3324.170763619475,69.5771484375,1.6189496527777778,P
102,2.0824652777777777,7.705615260855333,3311.944678656007,69.60537109375,2.0824652777777777,P
103,2.6574207899305557,7.698529692643038,3293.857129690796,70.00546875,2.6574207899305557,P
104,3.0840614149305554,7.693656942808631,3277.190007635232,70.4404296875,3.0840614149305554,P
105,3.4297178819444443,7.696251044035142,3257.998805444336,70.592333984375,3.4297178819444443,P
106,0.04308159722222222,7.694734749640217,3224.0269255694916,70.82724609375,0.04308159722222222,P
107,2.954064670138889,7.6947062573604015,3223.89903864745,70.829736328125,2.954064670138889,P
108,2.0831727430555556,7.6932801913509605,3222.5202389775486,71.010693359375,2.0831727430555556,P
109,2.1733723958333333,7.6898625144207635,3210.616076911916,71.1310546875,2.1733723958333333,P
110,2.0375792100694445,7.683368865660082,3185.509425887001,71.3833984375,2.0375792100694445,P
111,1.8010655381944445,7.6775554696940125,3157.8055510728195,71.427392578125,1.8010655381944445,P
112,1.5481065538194445,7.675232334425399,3141.181433129839,71.67392578125,1.5481065538194445,P
113,0.8135850694444444,7.673879494098659,3132.569273188909,71.84990234375,0.8135850694444444,P
114,0.6922341579861111,7.671932454453545,3126.2768855982467,71.961962890625,0.6922341579861111,P
115,0.7795974392361111,7.670660302728258,3122.2557267425423,71.965283203125,0.7795974392361111,P
116,0.32308702256944444,7.670043063693505,3118.7875721645346,71.99267578125,0.32308702256944444,P
117,0.33163953993055556,7.669351640255398,3117.023713540385,72.005126953125,0.33163953993055556,P
118,1.0152115885416666,7.668520523330552,3116.307815051514,72.070703125,1.0152115885416666,P
119,0.8004231770833333,7.668464123562225,3120.0502390501238,72.119677734375,0.8004231770833333,P
120,0.8146473524305555,7.66826778324932,3121.126540158071,72.06904296875,0.8146473524305555,P
121,0.6039800347222222,7.6681009065332715,3119.433266313298,72.035009765625,0.6039800347222222,P
122,0.6762836371527777,7.667374790938535,3118.202559346347,72.06904296875,0.6762836371527777,P
123,0.5512315538194444,7.6672744790428675,3118.5311411946195,72.06904296875,0.5512315538194444,P
124,0.7039854600694444,7.6670269478716495,3117.6136250527275,72.124658203125,0.7039854600694444,P
125,0.639033203125,7.667404488469909,3116.546824991344,72.13046875,0.639033203125,P
126,0.8962912326388889,7.66743853256632,3115.4830661107276,72.126318359375,0.8962912326388889,P
127,1.1665603298611111,7.666779918554378,3112.2437477217672,72.119677734375,1.1665603298611111,P
128,1.6034722222222222,7.666490007048728,3109.288848286565,72.0474609375,1.6034722222222222,P
129,1.8806911892361111,7.667348213684867,3107.203299701436,71.94619140625,1.8806911892361111,P
130,2.090945095486111,7.666876888339237,3106.7311420491114,72.093115234375,2.090945095486111,P
